window,K,representation,domain,mode,index,singular_value,normalized_singular_value,cumulative_energy,effective_rank,rank_90,rank_95,rank_99
K3_T3-5,3,storm_relative,A_common_dense,x,11,1.1215039813946404,0.0035258446092179137,0.9999857828265868,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,12,0.7858236721898465,0.0024705147768988886,0.9999904838442528,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,13,0.6672988538789147,0.0020978900705822387,0.9999938737094353,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,14,0.5583046800798086,0.0017552283177029947,0.999996246635492,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,15,0.4239498660662416,0.001332836418457906,0.9999976149019266,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,16,0.34342524705558536,0.0010796787849959323,0.9999985127567234,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,17,0.2796478507401971,0.0008791719720741169,0.9999991080961436,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,18,0.2246471308231898,0.0007062577470337998,0.999999492283812,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,19,0.20155429634495023,0.0006336572504618563,0.9999998015452626,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,x,20,0.1614581235183677,0.0005076007431678988,0.9999999999999997,2.0380650230481234,2,3,3
K3_T3-5,3,storm_relative,A_common_dense,y,1,334.32876944894053,1.0,0.8509208556731044,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,2,137.96197098047696,0.412653602045297,0.9958182077241566,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,3,21.06217483055583,0.06299839186819516,0.9991953401850194,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,4,9.71728045604946,0.029065044184100663,0.9999141783769323,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,5,2.881690165003762,0.008619330516346307,0.9999773957197001,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,6,1.6540297297219195,0.004947314981143215,0.9999982227951892,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,y,7,0.4831677134390786,0.001445187365225741,1.0,1.556675395876821,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,z,1,339.0444027136625,1.0,0.875094242444648,1.464993822248205,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,z,2,127.6367617794015,0.3764603124482081,0.9991146696994883,1.464993822248205,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,z,3,10.783892066146995,0.03180672495942796,0.9999999743250946,1.464993822248205,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,z,4,0.05807424763111566,0.0001712880294330116,1.0,1.464993822248205,2,2,2
K3_T3-5,3,storm_relative,A_common_dense,time,1,353.74007411332167,1.0,0.9525991582483995,1.2278808084737185,1,1,2
K3_T3-5,3,storm_relative,A_common_dense,time,2,75.21328562481105,0.212623027835733,0.9956647867968733,1.2278808084737185,1,1,2
K3_T3-5,3,storm_relative,A_common_dense,time,3,23.863514023103114,0.06746058976472756,1.0,1.2278808084737185,1,1,2
K3_T3-5,3,storm_relative,A_common_dense,component,1,330.53398138973023,1.0,0.8317137822769034,1.6975388730323,2,2,3
K3_T3-5,3,storm_relative,A_common_dense,component,2,135.66631969608997,0.410445906728503,0.9718291452024387,1.6975388730323,2,2,3
K3_T3-5,3,storm_relative,A_common_dense,component,3,60.83159143471574,0.18404035548462913,1.0,1.6975388730323,2,2,3
K3_T4-6,3,eulerian,A_common_dense,x,1,409.37591019507335,1.0,0.9005357065913586,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,2,105.10092706493653,0.25673451819589105,0.9598923679624558,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,3,85.50307362225803,0.20886200553792875,0.9991767408934084,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,4,9.91915298227544,0.024229938145478136,0.9997054363136192,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,5,6.773140925425296,0.016545040283874542,0.9999519474792574,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,6,2.1265123797415684,0.005194522508000668,0.9999762466919402,1.485447584227591,1,2,3
K3_T4-6,3,eulerian,A_common_dense,x,7,1.5989376064295446,0.0039057931026464858,0.9999899845620466,1.485447584227591,1,2,3
