window,representation,domain,rank_name,z_m,component,rmse_m_s
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,500.0,v,2.3309944160745903
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,500.0,w,1.040968591293344
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,1263.157894736842,u,1.5642496898357425
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,1263.157894736842,v,1.75176265217616
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,1263.157894736842,w,1.1415511690336744
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2026.3157894736842,u,1.8348736222430886
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2026.3157894736842,v,1.7383025575223447
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2026.3157894736842,w,1.2135256122679396
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2789.4736842105262,u,2.1668416109352404
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2789.4736842105262,v,2.0198264382306905
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,2789.4736842105262,w,1.3835213804036652
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,3552.6315789473683,u,2.1121520702149477
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,3552.6315789473683,v,1.9569312304545579
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,3552.6315789473683,w,1.2434037184947782
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,4315.78947368421,u,1.801124678188803
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,4315.78947368421,v,1.6136509102690335
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,4315.78947368421,w,1.0398800093494633
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5078.9473684210525,u,1.4332209518999341
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5078.9473684210525,v,1.4962011355004543
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5078.9473684210525,w,0.2924860923162224
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5842.105263157895,u,4.769082563046826
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5842.105263157895,v,0.8809374033152357
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,5842.105263157895,w,0.20576729343258235
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,6605.263157894737,u,nan
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,6605.263157894737,v,nan
K3_T1-3,storm_relative,B_structured_missing,aggressive_temporal,6605.263157894737,w,nan
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,500.0,u,1.0590191935463247
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,500.0,v,1.026926854406761
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,500.0,w,0.36123099402260456
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,1263.157894736842,u,0.9546606082530781
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,1263.157894736842,v,0.8543978836477821
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,1263.157894736842,w,0.4195231668340508
K3_T1-3,storm_relative,B_structured_missing,compact_temporal,2026.3157894736842,u,1.0424368011728962
